X,Y,FID
619703.94,3562705.37,984
619703.94,3561705.37,985
619703.94,3560705.37,986
619703.94,3559705.37,987
619703.94,3558705.37,988
619703.94,3557705.37,989
619703.94,3556705.37,990
619703.94,3555705.37,991
619703.94,3554705.37,992
619703.94,3553705.37,993
619703.94,3552705.37,994
619703.94,3551705.37,995
619703.94,3550705.37,996
619703.94,3549705.37,997
619703.94,3548705.37,998
619703.94,3547705.37,999
619703.94,3546705.37,1000
619703.94,3545705.37,1001
619703.94,3544705.37,1002
619703.94,3543705.37,1003
619703.94,3542705.37,1004
619703.94,3541705.37,1005
619703.94,3540705.37,1006
619703.94,3539705.37,1007
619703.94,3538705.37,1008
619703.94,3537705.37,1009
619703.94,3536705.37,1010
619703.94,3535705.37,1011
619703.94,3534705.37,1012
619703.94,3533705.37,1013
619703.94,3532705.37,1014
619703.94,3531705.37,1015
619703.94,3530705.37,1016
619703.94,3529705.37,1017
619703.94,3528705.37,1018
619703.94,3527705.37,1019
619703.94,3526705.37,1020
619703.94,3525705.37,1021
619703.94,3524705.37,1022
619703.94,3523705.37,1023
619703.94,3522705.37,1024
619703.94,3521705.37,1025
619703.94,3520705.37,1026
619703.94,3519705.37,1027
619703.94,3518705.37,1028
619703.94,3517705.37,1029
619703.94,3516705.37,1030
619703.94,3515705.37,1031
619703.94,3514705.37,1032
619703.94,3513705.37,1033
619703.94,3512705.37,1034
619703.94,3511705.37,1035
619703.94,3510705.37,1036
619703.94,3509705.37,1037
619703.94,3508705.37,1038
619703.94,3507705.37,1039
619703.94,3506705.37,1040
619703.94,3505705.37,1041
619703.94,3504705.37,1042
619703.94,3503705.37,1043
619703.94,3502705.37,1044
619703.94,3501705.37,1045
619703.94,3500705.37,1046
619703.94,3499705.37,1047
619703.94,3498705.37,1048
619703.94,3497705.37,1049
619703.94,3496705.37,1050
619703.94,3495705.37,1051
619703.94,3494705.37,1052
619703.94,3493705.37,1053
619703.94,3492705.37,1054
619703.94,3491705.37,1055
619703.94,3490705.37,1056
619703.94,3489705.37,1057
619703.94,3488705.37,1058
619703.94,3487705.37,1059
619703.94,3486705.37,1060
619703.94,3485705.37,1061
619703.94,3484705.37,1062
619703.94,3483705.37,1063
619703.94,3482705.37,1064
619703.94,3481705.37,1065
619703.94,3480705.37,1066
619703.94,3479705.37,1067
619703.94,3478705.37,1068
