X,Y,FID
727916.992539751,3617239.07425654,447
727916.992539751,3607239.07425654,448
727916.992539751,3597239.07425654,449
727916.992539751,3587239.07425654,450
727916.992539751,3577239.07425654,451
727916.992539751,3567239.07425654,452
727916.992539751,3557239.07425654,453
727916.992539751,3547239.07425654,454
727916.992539751,3537239.07425654,455
727916.992539751,3527239.07425654,456
727916.992539751,3517239.07425654,457
727916.992539751,3507239.07425654,458
727916.992539751,3497239.07425654,459
727916.992539751,3487239.07425654,460
727916.992539751,3477239.07425654,461
727916.992539751,3467239.07425654,462
727916.992539751,3457239.07425654,463
727916.992539751,3447239.07425654,464
727916.992539751,3437239.07425654,465
727916.992539751,3427239.07425654,466
727916.992539751,3417239.07425654,467
727916.992539751,3407239.07425654,468
727916.992539751,3397239.07425654,469
727916.992539751,3387239.07425654,470
727916.992539751,3377239.07425654,471
727916.992539751,3367239.07425654,472
727916.992539751,3357239.07425654,473
727916.992539751,3347239.07425654,474
727916.992539751,3337239.07425654,475
727916.992539751,3327239.07425654,476
727916.992539751,3317239.07425654,477
727916.992539751,3307239.07425654,478
727916.992539751,3297239.07425654,479
727916.992539751,3287239.07425654,480
727916.992539751,3277239.07425654,481
727916.992539751,3267239.07425654,482
727916.992539751,3257239.07425654,483
737916.992539751,3687239.07425654,484
737916.992539751,3677239.07425654,485
737916.992539751,3667239.07425654,486
737916.992539751,3657239.07425654,487
737916.992539751,3647239.07425654,488
737916.992539751,3637239.07425654,489
737916.992539751,3627239.07425654,490
737916.992539751,3617239.07425654,491
737916.992539751,3607239.07425654,492
737916.992539751,3597239.07425654,493
737916.992539751,3587239.07425654,494
737916.992539751,3577239.07425654,495
737916.992539751,3567239.07425654,496
737916.992539751,3557239.07425654,497
737916.992539751,3547239.07425654,498
737916.992539751,3537239.07425654,499
737916.992539751,3527239.07425654,500
737916.992539751,3517239.07425654,501
737916.992539751,3507239.07425654,502
737916.992539751,3497239.07425654,503
737916.992539751,3487239.07425654,504
737916.992539751,3477239.07425654,505
737916.992539751,3467239.07425654,506
737916.992539751,3457239.07425654,507
737916.992539751,3447239.07425654,508
737916.992539751,3437239.07425654,509
737916.992539751,3427239.07425654,510
737916.992539751,3417239.07425654,511
737916.992539751,3407239.07425654,512
737916.992539751,3397239.07425654,513
737916.992539751,3387239.07425654,514
737916.992539751,3377239.07425654,515
737916.992539751,3367239.07425654,516
737916.992539751,3357239.07425654,517
737916.992539751,3347239.07425654,518
737916.992539751,3337239.07425654,519
737916.992539751,3327239.07425654,520
737916.992539751,3317239.07425654,521
737916.992539751,3307239.07425654,522
737916.992539751,3297239.07425654,523
737916.992539751,3287239.07425654,524
737916.992539751,3277239.07425654,525
737916.992539751,3267239.07425654,526
737916.992539751,3257239.07425654,527
747916.992539751,3687239.07425654,528
747916.992539751,3677239.07425654,529
747916.992539751,3667239.07425654,530
747916.992539751,3657239.07425654,531
747916.992539751,3647239.07425654,532
747916.992539751,3637239.07425654,533
747916.992539751,3627239.07425654,534
747916.992539751,3617239.07425654,535
747916.992539751,3607239.07425654,536
747916.992539751,3597239.07425654,537
747916.992539751,3587239.07425654,538
747916.992539751,3577239.07425654,539
747916.992539751,3567239.07425654,540
747916.992539751,3557239.07425654,541
747916.992539751,3547239.07425654,542
747916.992539751,3537239.07425654,543
747916.992539751,3527239.07425654,544
747916.992539751,3517239.07425654,545
747916.992539751,3507239.07425654,546
747916.992539751,3497239.07425654,547
747916.992539751,3487239.07425654,548
747916.992539751,3477239.07425654,549
747916.992539751,3467239.07425654,550
747916.992539751,3457239.07425654,551
747916.992539751,3447239.07425654,552
747916.992539751,3437239.07425654,553
747916.992539751,3427239.07425654,554
747916.992539751,3417239.07425654,555
747916.992539751,3407239.07425654,556
747916.992539751,3397239.07425654,557
747916.992539751,3387239.07425654,558
747916.992539751,3377239.07425654,559
747916.992539751,3367239.07425654,560
747916.992539751,3357239.07425654,561
747916.992539751,3347239.07425654,562
747916.992539751,3337239.07425654,563
747916.992539751,3327239.07425654,564
747916.992539751,3317239.07425654,565
747916.992539751,3307239.07425654,566
747916.992539751,3297239.07425654,567
747916.992539751,3287239.07425654,568
747916.992539751,3277239.07425654,569
747916.992539751,3267239.07425654,570
747916.992539751,3257239.07425654,571
757916.992539751,3687239.07425654,572
757916.992539751,3677239.07425654,573
757916.992539751,3667239.07425654,574
757916.992539751,3657239.07425654,575
757916.992539751,3647239.07425654,576
757916.992539751,3637239.07425654,577
757916.992539751,3627239.07425654,578
757916.992539751,3617239.07425654,579
757916.992539751,3607239.07425654,580
757916.992539751,3597239.07425654,581
757916.992539751,3587239.07425654,582
757916.992539751,3577239.07425654,583
757916.992539751,3567239.07425654,584
757916.992539751,3557239.07425654,585
757916.992539751,3547239.07425654,586
757916.992539751,3537239.07425654,587
757916.992539751,3527239.07425654,588
757916.992539751,3517239.07425654,589
757916.992539751,3507239.07425654,590
757916.992539751,3497239.07425654,591
757916.992539751,3487239.07425654,592
757916.992539751,3477239.07425654,593
757916.992539751,3467239.07425654,594
757916.992539751,3457239.07425654,595
757916.992539751,3447239.07425654,596
757916.992539751,3437239.07425654,597
757916.992539751,3427239.07425654,598
757916.992539751,3417239.07425654,599
757916.992539751,3407239.07425654,600
757916.992539751,3397239.07425654,601
757916.992539751,3387239.07425654,602
757916.992539751,3377239.07425654,603
757916.992539751,3367239.07425654,604
757916.992539751,3357239.07425654,605
757916.992539751,3347239.07425654,606
757916.992539751,3337239.07425654,607
757916.992539751,3327239.07425654,608
757916.992539751,3317239.07425654,609
757916.992539751,3307239.07425654,610
757916.992539751,3297239.07425654,611
757916.992539751,3287239.07425654,612
757916.992539751,3277239.07425654,613
757916.992539751,3267239.07425654,614
757916.992539751,3257239.07425654,615
767916.992539751,3687239.07425654,616
767916.992539751,3677239.07425654,617
767916.992539751,3667239.07425654,618
767916.992539751,3657239.07425654,619
767916.992539751,3647239.07425654,620
767916.992539751,3637239.07425654,621
767916.992539751,3627239.07425654,622
767916.992539751,3617239.07425654,623
767916.992539751,3607239.07425654,624
767916.992539751,3597239.07425654,625
767916.992539751,3587239.07425654,626
767916.992539751,3577239.07425654,627
767916.992539751,3567239.07425654,628
767916.992539751,3557239.07425654,629
767916.992539751,3547239.07425654,630
767916.992539751,3537239.07425654,631
767916.992539751,3527239.07425654,632
767916.992539751,3517239.07425654,633
767916.992539751,3507239.07425654,634
767916.992539751,3497239.07425654,635
767916.992539751,3487239.07425654,636
767916.992539751,3477239.07425654,637
767916.992539751,3467239.07425654,638
767916.992539751,3457239.07425654,639
767916.992539751,3447239.07425654,640
767916.992539751,3437239.07425654,641
767916.992539751,3427239.07425654,642
767916.992539751,3417239.07425654,643
767916.992539751,3407239.07425654,644
767916.992539751,3397239.07425654,645
767916.992539751,3387239.07425654,646
767916.992539751,3377239.07425654,647
767916.992539751,3367239.07425654,648
767916.992539751,3357239.07425654,649
767916.992539751,3347239.07425654,650
767916.992539751,3337239.07425654,651
767916.992539751,3327239.07425654,652
767916.992539751,3317239.07425654,653
767916.992539751,3307239.07425654,654
767916.992539751,3297239.07425654,655
767916.992539751,3287239.07425654,656
767916.992539751,3277239.07425654,657
767916.992539751,3267239.07425654,658
767916.992539751,3257239.07425654,659
